model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 4 31b,HS-PS4-5,69,1.0,0.9473,1.0,0.9861,0.0,0.0
Granite 3.3 Instruct,HS-ESS1-1,48,0.6458,0.5044,0.7657,0.75,0.0,0.1062
Granite 3.3 Instruct,HS-ESS1-2,66,0.8636,0.7607,0.9266,0.9,0.0,0.0
Granite 3.3 Instruct,HS-ESS1-3,48,0.5417,0.4029,0.6742,0.6,0.0,0.078
Granite 3.3 Instruct,HS-ESS1-4,48,0.6042,0.4631,0.7298,0.5909,0.0,0.1062
Granite 3.3 Instruct,HS-ESS1-5,30,0.7333,0.5555,0.8582,0.8333,0.0,0.0471
Granite 3.3 Instruct,HS-ESS1-6,45,0.7556,0.6133,0.8576,0.8167,0.0,0.0629
Granite 3.3 Instruct,HS-ESS2-1,39,0.6923,0.5358,0.8143,0.8333,0.0,0.0628
Granite 3.3 Instruct,HS-ESS2-2,42,0.9286,0.8099,0.9754,0.95,0.0,0.0583
Granite 3.3 Instruct,HS-ESS2-3,48,0.7917,0.6574,0.8827,0.85,0.0,0.1062
Granite 3.3 Instruct,HS-ESS2-4,39,0.7179,0.5622,0.8346,0.85,0.0,0.1581
Granite 3.3 Instruct,HS-ESS2-5,45,0.7556,0.6133,0.8576,0.7963,0.0,0.0314
Granite 3.3 Instruct,HS-ESS2-6,39,0.7949,0.6447,0.8922,0.8542,0.0,0.0363
Granite 3.3 Instruct,HS-ESS2-7,36,0.6667,0.5033,0.7979,0.7917,0.0,0.068
Granite 3.3 Instruct,HS-ESS3-1,48,0.9375,0.8316,0.9785,0.9744,0.0,0.051
Granite 3.3 Instruct,HS-ESS3-2,39,1.0,0.9103,1.0,1.0,0.0,0.0
Granite 3.3 Instruct,HS-ESS3-3,42,0.9286,0.8099,0.9754,0.95,0.0,0.0583
Granite 3.3 Instruct,HS-ESS3-4,75,0.9733,0.9079,0.9927,0.9872,0.0,0.0189
Granite 3.3 Instruct,HS-ESS3-5,54,0.7778,0.6506,0.868,0.8333,0.0,0.0
Granite 3.3 Instruct,HS-ESS3-6,36,0.9444,0.8186,0.9846,0.9667,0.0,0.0786
Granite 3.3 Instruct,HS-ETS1-1,87,0.9655,0.9035,0.9882,0.9737,0.0,0.0
Granite 3.3 Instruct,HS-ETS1-2,81,0.9383,0.8635,0.9733,0.9352,0.0,0.063
Granite 3.3 Instruct,HS-ETS1-3,66,0.9848,0.919,0.9973,0.9896,0.0,0.0214
Granite 3.3 Instruct,HS-ETS1-4,57,0.9123,0.8106,0.9619,0.9359,0.0,0.0895
Granite 3.3 Instruct,HS-LS1-1,42,0.9762,0.8768,0.9958,0.9815,0.0,0.0337
Granite 3.3 Instruct,HS-LS1-2,36,0.8056,0.6497,0.9025,0.8833,0.0,0.0786
Granite 3.3 Instruct,HS-LS1-3,42,0.9048,0.7793,0.9623,0.9167,0.0,0.0337
Granite 3.3 Instruct,HS-LS1-4,54,0.8333,0.7126,0.9098,0.9,0.0,0.0786
Granite 3.3 Instruct,HS-LS1-5,48,0.75,0.6122,0.8508,0.8333,0.0,0.135
Granite 3.3 Instruct,HS-LS1-6,36,0.5556,0.3958,0.7046,0.6667,0.0,0.0393
Granite 3.3 Instruct,HS-LS1-7,36,0.6944,0.5314,0.82,0.7083,0.0,0.0393
Granite 3.3 Instruct,HS-LS2-1,45,0.9556,0.8517,0.9877,0.8889,0.0,0.0314
Granite 3.3 Instruct,HS-LS2-2,27,0.8519,0.6752,0.9408,0.8333,0.0,0.0524
Granite 3.3 Instruct,HS-LS2-3,24,0.7083,0.5083,0.8509,0.8333,0.0,0.0589
Granite 3.3 Instruct,HS-LS2-4,33,0.9091,0.7643,0.9686,0.9375,0.0,0.1286
Granite 3.3 Instruct,HS-LS2-5,33,0.8485,0.6908,0.9335,0.9583,0.0,0.0857
Granite 3.3 Instruct,HS-LS2-6,39,0.7692,0.6166,0.8735,0.75,0.0,0.0628
Granite 3.3 Instruct,HS-LS2-7,30,1.0,0.8865,1.0,1.0,0.0,0.0
Granite 3.3 Instruct,HS-LS2-8,33,0.8788,0.7267,0.9518,0.9762,0.0,0.0857
Granite 3.3 Instruct,HS-LS3-1,93,0.7634,0.6677,0.8383,0.8485,0.0,0.0152
Granite 3.3 Instruct,HS-LS3-2,96,0.8125,0.723,0.878,0.8864,0.0,0.051
Granite 3.3 Instruct,HS-LS3-3,93,0.6989,0.5993,0.7827,0.6481,0.0,0.0402
Granite 3.3 Instruct,HS-LS4-1,72,0.875,0.7792,0.9328,0.9375,0.0,0.034
Granite 3.3 Instruct,HS-LS4-2,54,0.8519,0.734,0.923,0.9167,0.0,0.0524
Granite 3.3 Instruct,HS-LS4-3,51,0.9216,0.815,0.9691,0.9359,0.0,0.0734
Granite 3.3 Instruct,HS-LS4-4,57,0.9474,0.8563,0.9819,0.9583,0.0,0.043
Granite 3.3 Instruct,HS-LS4-5,48,0.9375,0.8316,0.9785,0.9545,0.0,0.051
Granite 3.3 Instruct,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
Granite 3.3 Instruct,HS-PS1-1,45,0.8222,0.6867,0.9071,0.8667,0.0,0.0629
Granite 3.3 Instruct,HS-PS1-2,36,0.6111,0.4486,0.7522,0.75,0.0,0.0393
Granite 3.3 Instruct,HS-PS1-3,39,0.7949,0.6447,0.8922,0.8519,0.0,0.0363
Granite 3.3 Instruct,HS-PS1-4,36,0.5556,0.3958,0.7046,0.75,0.0,0.0393
Granite 3.3 Instruct,HS-PS1-5,36,0.8333,0.6811,0.9213,0.9167,0.0,0.068
Granite 3.3 Instruct,HS-PS1-6,36,0.6389,0.4758,0.7752,0.7083,0.0,0.1416
Granite 3.3 Instruct,HS-PS1-7,36,0.6111,0.4486,0.7522,0.6667,0.0,0.0393
Granite 3.3 Instruct,HS-PS1-8,33,0.6667,0.4961,0.8025,0.8095,0.0,0.1134
Granite 3.3 Instruct,HS-PS2-1,48,0.9375,0.8316,0.9785,0.9744,0.0,0.0
Granite 3.3 Instruct,HS-PS2-2,63,0.8254,0.7138,0.8996,0.8444,0.0,0.0224
Granite 3.3 Instruct,HS-PS2-3,72,0.8889,0.7958,0.9426,0.9048,0.0,0.052
Granite 3.3 Instruct,HS-PS2-4,72,0.75,0.6391,0.8356,0.7949,0.0,0.1227
Granite 3.3 Instruct,HS-PS2-5,42,0.8095,0.667,0.9002,0.8889,0.0,0.0673
Granite 3.3 Instruct,HS-PS3-1,63,0.8571,0.7503,0.923,0.9048,0.0,0.0389
Granite 3.3 Instruct,HS-PS3-2,57,0.8772,0.7675,0.9392,0.9028,0.0,0.0496
Granite 3.3 Instruct,HS-PS3-3,57,0.8421,0.7264,0.9146,0.9286,0.0,0.043
Granite 3.3 Instruct,HS-PS3-4,54,0.6667,0.5336,0.7776,0.6806,0.0,0.0786
Granite 3.3 Instruct,HS-PS3-5,48,0.6042,0.4631,0.7298,0.6833,0.0,0.078
Granite 3.3 Instruct,HS-PS4-1,57,0.7895,0.6671,0.8753,0.8214,0.0,0.0
