model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Granite 3.3 Instruct,HS-ESS2,recall,93,0.8495,0.763,0.9082,,0.0,0.0663
Granite 3.3 Instruct,HS-ESS3,applied,102,0.9314,0.8651,0.9664,0.951,0.0,0.0277
Granite 3.3 Instruct,HS-ESS3,conceptual,96,0.9062,0.8313,0.9499,0.9531,0.0,0.0255
Granite 3.3 Instruct,HS-ESS3,recall,96,0.9375,0.8703,0.971,,0.0,0.0255
Granite 3.3 Instruct,HS-ETS1,applied,102,0.902,0.8289,0.9459,0.9412,0.0,0.0772
Granite 3.3 Instruct,HS-ETS1,conceptual,96,0.9583,0.8977,0.9837,0.9792,0.0,0.0147
Granite 3.3 Instruct,HS-ETS1,recall,93,1.0,0.9603,1.0,,0.0,0.0
Granite 3.3 Instruct,HS-LS1,applied,99,0.7273,0.6323,0.8053,0.8131,0.0,0.0495
Granite 3.3 Instruct,HS-LS1,conceptual,99,0.7778,0.6864,0.8484,0.8788,0.0,0.0515
Granite 3.3 Instruct,HS-LS1,recall,96,0.8854,0.8064,0.9348,,0.0,0.0642
Granite 3.3 Instruct,HS-LS2,applied,84,0.869,0.7805,0.9253,0.8988,0.0,0.0337
Granite 3.3 Instruct,HS-LS2,conceptual,87,0.8621,0.7742,0.9193,0.9023,0.0,0.0282
Granite 3.3 Instruct,HS-LS2,recall,93,0.8817,0.8005,0.9327,,0.0,0.0402
Granite 3.3 Instruct,HS-LS3,applied,93,0.6452,0.5439,0.7349,0.7419,0.0,0.0263
Granite 3.3 Instruct,HS-LS3,conceptual,93,0.7527,0.6562,0.8292,0.8656,0.0,0.0304
Granite 3.3 Instruct,HS-LS3,recall,96,0.875,0.7941,0.927,,0.0,0.0675
Granite 3.3 Instruct,HS-LS4,applied,96,0.875,0.7941,0.927,0.9219,0.0,0.0255
Granite 3.3 Instruct,HS-LS4,conceptual,96,0.9375,0.8703,0.971,0.9583,0.0,0.0
Granite 3.3 Instruct,HS-LS4,recall,93,0.9032,0.8262,0.9482,,0.0,0.0263
Granite 3.3 Instruct,HS-PS1,applied,99,0.6667,0.5691,0.7518,0.7727,0.0,0.0247
Granite 3.3 Instruct,HS-PS1,conceptual,99,0.6667,0.5691,0.7518,0.8131,0.0,0.0247
Granite 3.3 Instruct,HS-PS1,recall,99,0.7576,0.6646,0.8313,,0.0,0.0495
Granite 3.3 Instruct,HS-PS2,applied,102,0.8431,0.7603,0.9011,0.8775,0.0,0.05
Granite 3.3 Instruct,HS-PS2,conceptual,99,0.8283,0.7421,0.8899,0.8838,0.0,0.0143
Granite 3.3 Instruct,HS-PS2,recall,96,0.8438,0.7581,0.903,,0.0,0.0442
Granite 3.3 Instruct,HS-PS3,applied,96,0.6771,0.5783,0.7622,0.7812,0.0,0.0642
Granite 3.3 Instruct,HS-PS3,conceptual,90,0.8,0.7059,0.8696,0.8833,0.0,0.0471
Granite 3.3 Instruct,HS-PS3,recall,93,0.8602,0.7754,0.9165,,0.0,0.0402
