model,area,question_type,mean_fk_grade,mean_reading_ease,n,dist_from_band
Mistral Small 3.1,HS-ESS1,recall,10.93,49.37,93,0.0
Mistral Small 3.1,HS-ESS2,applied,10.91,49.48,96,0.0
Mistral Small 3.1,HS-ESS2,conceptual,11.21,47.11,99,0.0
Mistral Small 3.1,HS-ESS2,recall,10.96,47.42,93,0.0
Mistral Small 3.1,HS-ESS3,applied,12.32,38.78,102,0.0
Mistral Small 3.1,HS-ESS3,conceptual,11.85,42.63,96,0.0
Mistral Small 3.1,HS-ESS3,recall,12.79,36.26,96,0.0
Mistral Small 3.1,HS-ETS1,applied,13.03,34.95,102,0.0
Mistral Small 3.1,HS-ETS1,conceptual,12.75,32.51,96,0.0
Mistral Small 3.1,HS-ETS1,recall,11.87,38.72,93,0.0
Mistral Small 3.1,HS-LS1,applied,12.06,43.29,99,0.0
Mistral Small 3.1,HS-LS1,conceptual,11.6,44.03,99,0.0
Mistral Small 3.1,HS-LS1,recall,11.29,45.88,96,0.0
Mistral Small 3.1,HS-LS2,applied,11.56,45.19,84,0.0
Mistral Small 3.1,HS-LS2,conceptual,11.99,40.67,87,0.0
Mistral Small 3.1,HS-LS2,recall,12.87,35.64,93,0.0
Mistral Small 3.1,HS-LS3,applied,11.72,45.74,93,0.0
Mistral Small 3.1,HS-LS3,conceptual,11.16,47.94,93,0.0
Mistral Small 3.1,HS-LS3,recall,11.64,43.88,96,0.0
Mistral Small 3.1,HS-LS4,applied,12.15,42.07,96,0.0
Mistral Small 3.1,HS-LS4,conceptual,12.46,38.47,96,0.0
Mistral Small 3.1,HS-LS4,recall,12.55,37.06,93,0.0
Mistral Small 3.1,HS-PS1,applied,11.26,48.83,99,0.0
Mistral Small 3.1,HS-PS1,conceptual,12.0,43.76,99,0.0
Mistral Small 3.1,HS-PS1,recall,11.76,44.51,99,0.0
Mistral Small 3.1,HS-PS2,applied,12.14,54.92,102,0.0
Mistral Small 3.1,HS-PS2,conceptual,10.93,54.07,99,0.0
Mistral Small 3.1,HS-PS2,recall,11.34,51.69,96,0.0
Mistral Small 3.1,HS-PS3,applied,11.08,53.11,96,0.0
Mistral Small 3.1,HS-PS3,conceptual,11.05,49.96,90,0.0
Mistral Small 3.1,HS-PS3,recall,11.37,47.98,93,0.0
Mistral Small 3.1,HS-PS4,applied,10.84,54.24,102,0.0
Mistral Small 3.1,HS-PS4,conceptual,11.12,49.58,96,0.0
Mistral Small 3.1,HS-PS4,recall,11.47,47.03,96,0.0
Nemotron 3 Nano 30ba3,HS-ESS1,applied,10.68,53.99,96,0.0
Nemotron 3 Nano 30ba3,HS-ESS1,conceptual,11.63,47.29,96,0.0
Nemotron 3 Nano 30ba3,HS-ESS1,recall,11.74,45.13,93,0.0
Nemotron 3 Nano 30ba3,HS-ESS2,applied,11.73,45.9,96,0.0
Nemotron 3 Nano 30ba3,HS-ESS2,conceptual,11.73,44.47,99,0.0
Nemotron 3 Nano 30ba3,HS-ESS2,recall,12.21,41.58,93,0.0
Nemotron 3 Nano 30ba3,HS-ESS3,applied,13.0,39.11,102,0.0
Nemotron 3 Nano 30ba3,HS-ESS3,conceptual,12.4,40.0,96,0.0
Nemotron 3 Nano 30ba3,HS-ESS3,recall,13.45,34.11,96,0.0
Nemotron 3 Nano 30ba3,HS-ETS1,applied,12.98,37.69,102,0.0
Nemotron 3 Nano 30ba3,HS-ETS1,conceptual,12.88,34.1,96,0.0
Nemotron 3 Nano 30ba3,HS-ETS1,recall,12.58,37.48,93,0.0
Nemotron 3 Nano 30ba3,HS-LS1,applied,12.49,40.85,99,0.0
Nemotron 3 Nano 30ba3,HS-LS1,conceptual,12.49,39.61,99,0.0
Nemotron 3 Nano 30ba3,HS-LS1,recall,12.42,40.52,96,0.0
Nemotron 3 Nano 30ba3,HS-LS2,applied,11.39,46.8,84,0.0
Nemotron 3 Nano 30ba3,HS-LS2,conceptual,12.78,37.49,87,0.0
Nemotron 3 Nano 30ba3,HS-LS2,recall,14.03,30.7,93,0.03
Nemotron 3 Nano 30ba3,HS-LS3,applied,12.39,42.97,93,0.0
Nemotron 3 Nano 30ba3,HS-LS3,conceptual,12.26,42.89,93,0.0
Nemotron 3 Nano 30ba3,HS-LS3,recall,12.17,41.27,96,0.0
Nemotron 3 Nano 30ba3,HS-LS4,applied,12.69,40.56,96,0.0
Nemotron 3 Nano 30ba3,HS-LS4,conceptual,12.87,34.53,96,0.0
Nemotron 3 Nano 30ba3,HS-LS4,recall,14.09,28.73,93,0.09
Nemotron 3 Nano 30ba3,HS-PS1,applied,12.06,44.71,99,0.0
Nemotron 3 Nano 30ba3,HS-PS1,conceptual,12.4,41.8,99,0.0
Nemotron 3 Nano 30ba3,HS-PS1,recall,12.66,40.14,99,0.0
Nemotron 3 Nano 30ba3,HS-PS2,applied,9.5,59.11,102,0.0
Nemotron 3 Nano 30ba3,HS-PS2,conceptual,10.9,53.87,99,0.0
Nemotron 3 Nano 30ba3,HS-PS2,recall,11.35,50.49,96,0.0
Nemotron 3 Nano 30ba3,HS-PS3,applied,11.11,51.52,96,0.0
Nemotron 3 Nano 30ba3,HS-PS3,conceptual,11.69,46.13,90,0.0
Nemotron 3 Nano 30ba3,HS-PS3,recall,12.11,43.34,93,0.0
Nemotron 3 Nano 30ba3,HS-PS4,applied,10.44,53.8,102,0.0
Nemotron 3 Nano 30ba3,HS-PS4,conceptual,11.59,47.22,96,0.0
Nemotron 3 Nano 30ba3,HS-PS4,recall,11.56,44.91,96,0.0
OSS 120b,HS-ESS1,applied,10.68,54.22,96,0.0
OSS 120b,HS-ESS1,conceptual,10.78,51.76,96,0.0
OSS 120b,HS-ESS1,recall,10.98,49.29,93,0.0
OSS 120b,HS-ESS2,applied,10.67,51.77,96,0.0
OSS 120b,HS-ESS2,conceptual,10.77,50.76,99,0.0
OSS 120b,HS-ESS2,recall,11.52,45.77,93,0.0
OSS 120b,HS-ESS3,applied,11.61,45.39,102,0.0
OSS 120b,HS-ESS3,conceptual,11.03,48.14,96,0.0
OSS 120b,HS-ESS3,recall,12.46,39.72,96,0.0
OSS 120b,HS-ETS1,applied,11.8,43.62,102,0.0
OSS 120b,HS-ETS1,conceptual,11.59,42.35,96,0.0
OSS 120b,HS-ETS1,recall,11.38,42.94,93,0.0
OSS 120b,HS-LS1,applied,11.9,44.26,99,0.0
OSS 120b,HS-LS1,conceptual,11.76,44.43,99,0.0
OSS 120b,HS-LS1,recall,12.12,42.94,96,0.0
OSS 120b,HS-LS2,applied,10.69,51.27,84,0.0
OSS 120b,HS-LS2,conceptual,11.45,45.16,87,0.0
OSS 120b,HS-LS2,recall,12.82,36.93,93,0.0
OSS 120b,HS-LS3,applied,11.69,46.28,93,0.0
OSS 120b,HS-LS3,conceptual,11.01,48.76,93,0.0
OSS 120b,HS-LS3,recall,11.2,46.27,96,0.0
OSS 120b,HS-LS4,applied,11.74,45.54,96,0.0
OSS 120b,HS-LS4,conceptual,11.73,42.28,96,0.0
OSS 120b,HS-LS4,recall,12.47,37.92,93,0.0
OSS 120b,HS-PS1,applied,11.54,47.09,99,0.0
OSS 120b,HS-PS1,conceptual,11.6,46.35,99,0.0
OSS 120b,HS-PS1,recall,12.1,43.38,99,0.0
OSS 120b,HS-PS2,applied,9.87,58.2,102,0.0
OSS 120b,HS-PS2,conceptual,9.85,58.14,99,0.0
OSS 120b,HS-PS2,recall,10.59,52.31,96,0.0
OSS 120b,HS-PS3,applied,10.86,52.1,96,0.0
OSS 120b,HS-PS3,conceptual,10.79,51.02,90,0.0
OSS 120b,HS-PS3,recall,11.72,45.41,93,0.0
OSS 120b,HS-PS4,applied,9.87,56.66,102,0.0
OSS 120b,HS-PS4,conceptual,10.68,52.07,96,0.0
OSS 120b,HS-PS4,recall,10.89,50.02,96,0.0
OSS 20b,HS-ESS1,applied,10.45,55.89,96,0.0
OSS 20b,HS-ESS1,conceptual,11.11,51.09,96,0.0
OSS 20b,HS-ESS1,recall,10.83,50.27,93,0.0
OSS 20b,HS-ESS2,applied,10.44,53.49,96,0.0
OSS 20b,HS-ESS2,conceptual,10.46,52.28,99,0.0
OSS 20b,HS-ESS2,recall,10.92,48.31,93,0.0
OSS 20b,HS-ESS3,applied,11.5,48.46,102,0.0
OSS 20b,HS-ESS3,conceptual,10.58,51.15,96,0.0
OSS 20b,HS-ESS3,recall,12.43,41.08,96,0.0
OSS 20b,HS-ETS1,applied,11.71,45.15,102,0.0
OSS 20b,HS-ETS1,conceptual,11.39,43.68,96,0.0
OSS 20b,HS-ETS1,recall,10.93,44.61,93,0.0
OSS 20b,HS-LS1,applied,11.48,46.74,99,0.0
OSS 20b,HS-LS1,conceptual,11.09,47.63,99,0.0
OSS 20b,HS-LS1,recall,11.38,45.96,96,0.0
OSS 20b,HS-LS2,applied,10.49,53.55,84,0.0
OSS 20b,HS-LS2,conceptual,11.16,47.06,87,0.0
OSS 20b,HS-LS2,recall,12.5,38.87,93,0.0
OSS 20b,HS-LS3,applied,11.76,48.72,93,0.0
OSS 20b,HS-LS3,conceptual,10.59,50.53,93,0.0
OSS 20b,HS-LS3,recall,10.72,48.9,96,0.0
OSS 20b,HS-LS4,applied,11.45,49.07,96,0.0
OSS 20b,HS-LS4,conceptual,11.55,45.01,96,0.0
OSS 20b,HS-LS4,recall,12.39,38.34,93,0.0
OSS 20b,HS-PS1,applied,11.44,47.74,99,0.0
OSS 20b,HS-PS1,conceptual,11.2,48.1,99,0.0
OSS 20b,HS-PS1,recall,11.86,44.88,99,0.0
OSS 20b,HS-PS2,applied,9.96,57.48,102,0.0
OSS 20b,HS-PS2,conceptual,9.86,58.22,99,0.0
OSS 20b,HS-PS2,recall,10.84,52.62,96,0.0
OSS 20b,HS-PS3,applied,10.66,53.66,96,0.0
OSS 20b,HS-PS3,conceptual,10.6,52.37,90,0.0
OSS 20b,HS-PS3,recall,11.4,47.93,93,0.0
OSS 20b,HS-PS4,applied,9.73,58.07,102,0.0
OSS 20b,HS-PS4,conceptual,10.65,52.45,96,0.0
OSS 20b,HS-PS4,recall,10.94,49.75,96,0.0
