model,area,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Nemotron 3 Nano 30ba3,HS-LS3,282,0.9645,0.936,0.9806,0.9785,0.0,0.01
Nemotron 3 Nano 30ba3,HS-LS4,285,0.9614,0.9322,0.9783,0.9948,0.0,0.0131
Nemotron 3 Nano 30ba3,HS-PS1,297,0.9562,0.9266,0.9742,0.9722,0.0,0.0407
Nemotron 3 Nano 30ba3,HS-PS2,297,0.9832,0.9612,0.9928,0.99,0.0,0.0095
Nemotron 3 Nano 30ba3,HS-PS3,279,0.9749,0.9491,0.9878,0.9812,0.0,0.0051
Nemotron 3 Nano 30ba3,HS-PS4,294,0.9762,0.9517,0.9884,0.9874,0.0,0.0048
OSS 120b,HS-ESS1,285,0.9825,0.9596,0.9925,0.9896,0.0,0.0131
OSS 120b,HS-ESS2,288,0.9618,0.9329,0.9785,0.9744,0.0,0.0177
OSS 120b,HS-ESS3,294,0.9728,0.9472,0.9861,0.9697,0.0,0.0127
OSS 120b,HS-ETS1,291,0.9828,0.9604,0.9926,0.9798,0.0,0.0049
OSS 120b,HS-LS1,294,0.9898,0.9704,0.9965,0.9924,0.0,0.0144
OSS 120b,HS-LS2,264,1.0,0.9857,1.0,0.9971,0.0,0.0
OSS 120b,HS-LS3,282,0.9965,0.9802,0.9994,0.9973,0.0,0.005
OSS 120b,HS-LS4,285,0.9895,0.9695,0.9964,0.9948,0.0,0.0086
OSS 120b,HS-PS1,297,0.9865,0.9659,0.9948,0.9874,0.0,0.0048
OSS 120b,HS-PS2,297,0.9933,0.9758,0.9982,0.9975,0.0,0.0095
OSS 120b,HS-PS3,279,0.9892,0.9689,0.9963,0.9919,0.0,0.0152
OSS 120b,HS-PS4,294,0.9932,0.9755,0.9981,0.9924,0.0,0.0048
OSS 20b,HS-ESS1,285,0.9684,0.9411,0.9833,0.9661,0.0,0.0172
OSS 20b,HS-ESS2,288,0.8993,0.8591,0.929,0.9282,0.0,0.0177
OSS 20b,HS-ESS3,294,0.9558,0.9258,0.974,0.9672,0.0,0.0096
OSS 20b,HS-ETS1,291,0.9863,0.9652,0.9946,0.9924,0.0,0.0049
OSS 20b,HS-LS1,294,0.966,0.9385,0.9814,0.9722,0.0,0.0127
OSS 20b,HS-LS2,264,0.9583,0.9269,0.9766,0.962,0.0,0.0107
OSS 20b,HS-LS3,282,0.961,0.9315,0.9781,0.9812,0.0,0.01
OSS 20b,HS-LS4,285,0.9158,0.8778,0.9428,0.9609,0.0,0.0149
OSS 20b,HS-PS1,297,0.9461,0.9143,0.9666,0.9722,0.0,0.0126
OSS 20b,HS-PS2,297,0.9798,0.9566,0.9907,0.99,0.0,0.0082
OSS 20b,HS-PS3,279,0.9606,0.9308,0.9778,0.9731,0.0,0.0101
OSS 20b,HS-PS4,294,0.9864,0.9655,0.9947,0.9899,0.0,0.0048
